Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Split
YoungJae, KR,14,64.3%,4.8,2.8,2.0,6.8,5.9,342,66%,16.8,304,2,0.67,0.59,0.39,-280,-1,-118,7.1%,14.3%,0,1,2021 Summer
Yuekai, CN,3,100%,7.4,5.3,1.7,7.0,9.4,450,66.9%,23.9,561,-,0.98,0.6,0.15,-,-,-,-,-,0,-,2021 Summer
Yuhi, JP,14,7.1%,1.6,1.4,3.4,3.9,8.1,360,63.6%,28.9,509,1.46,0.69,0.42,0.18,-890,-10,-430,7.1%,7.1%,0,2,2021 Summer
Yunbee, CA,60,50%,3.6,3.1,2.6,6.3,8.0,386,65.9%,23.2,470,1.2,0.45,0.2,0.19,-383,-8,-367,16.7%,8.3%,0,10,2021 Summer
Yunika, JP,18,83.3%,5.7,3.7,2.5,10.6,5.3,351,72.8%,16.8,373,1.43,0.46,0.35,0.35,-67,-2,47,50%,0%,0,5,2021 Summer
Yupps, BR,22,63.6%,3.5,4.1,3.1,6.8,8.1,410,65.7%,23.8,473,1.02,0.44,0.19,0.26,310,4,243,27.3%,13.6%,0,12,2021 Summer
Yuri, KR,29,62.1%,3.7,3.9,2.8,6.3,8.4,411,65.1%,27.1,626,1.12,0.39,0.22,0.14,41,1,-54,20.7%,13.8%,1,7,2021 Summer
Yursan, TW,41,43.9%,3.4,0.8,2.8,8.6,1.1,229,63.6%,8.3,164,2.6,1.95,0.24,0.67,-128,2,-21,12.2%,7.3%,0,-,2021 Summer
Yusa, GB,16,31.3%,2.7,2.8,3.2,6.0,6.7,365,57.8%,22.9,476,1.31,0.55,0.29,0.16,-200,-9,-132,18.8%,0%,0,2,2021 Summer
Yusin, KR,28,53.6%,2.2,0.7,3.6,7.3,1.3,233,69.5%,7.0,121,2.48,1.63,0.36,0.56,-120,-2,-114,10.7%,21.4%,0,-,2021 Summer
Yusui, US,35,34.3%,2.4,3.2,2.7,3.4,8.2,381,57.4%,21.6,373,1.01,0.44,0.21,0.19,-418,-4,-123,11.4%,5.7%,0,10,2021 Summer
Yuta, PL,5,40%,4.5,4.6,2.4,6.2,5.5,362,72%,18.3,359,1.86,0.69,0.46,0.42,144,3,258,20%,0%,0,1,2021 Summer
Yutapon, JP,37,64.9%,7.3,4.5,1.4,5.7,9.5,442,63.9%,27.5,529,1.22,0.42,0.4,0.08,102,-5,107,24.3%,8.1%,0,6,2021 Summer
