Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Split
KiWiKiD,,21,19%,2.6,0.4,2.7,6.5,1.0,244,70.1%,6.4,110,-,1.04,0.34,0.14,-35,2,41,23.8%,9.5%,0,1,2016 Spring
Kid,,41,48.8%,3.9,2.2,2.3,6.8,4.0,-,68.3%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Kikis, PL,36,63.9%,3.3,2.4,2.5,5.9,6.8,369,61.3%,19.7,390,-,0.5,0.15,0.09,19,-4,-198,30.6%,13.9%,0,6,2016 Spring
Kirei, NL,21,19%,2.3,1.9,2.9,4.7,4.0,326,60.4%,20.4,358,-,0.7,0.52,0.12,-217,-5,-206,33.3%,19%,0,1,2016 Spring
Kirrrra, UA,7,57.1%,3.9,2.6,2.1,5.9,8.3,392,66.5%,27.9,545,-,0.53,0.21,0.09,-149,-3,-49,14.3%,0%,0,3,2016 Spring
Kitties,,39,51.3%,3.1,0.4,3.0,8.7,1.3,-,71.2%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Klaj, SE,36,47.2%,2.5,0.3,3.3,8.1,1.2,251,69.1%,4.8,86,-,1.39,0.33,0.25,-185,-1,-268,22.2%,11.1%,0,1,2016 Spring
Kobbe, DK,23,34.8%,3.5,2.5,1.7,3.6,8.7,385,66.9%,26.2,419,-,0.37,0.25,0.02,-211,-2,-327,8.7%,17.4%,0,-,2016 Spring
Kold,,23,34.8%,3.3,1.7,2.0,4.8,3.7,317,68.6%,16.6,265,-,0.87,0.4,0.15,-461,-7,-509,21.7%,0%,0,1,2016 Spring
Koro1,,42,69%,3.8,2.4,2.5,7.4,7.5,-,64.6%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Kramer, KR,46,41.3%,4.9,3.7,1.5,3.8,9.5,418,74.4%,33.1,617,-,0.62,0.38,0.08,-57,-0,181,15.2%,8.7%,0,3,2016 Spring
Kuzan, KR,48,54.2%,4.0,2.7,1.8,4.7,8.6,384,71.1%,27.4,493,-,0.63,0.27,0.09,112,8,146,29.2%,4.2%,0,11,2016 Spring
Kwon,,20,40%,2.8,0.3,2.7,7.2,1.0,248,76.1%,4.3,75,-,1.52,0.38,0.44,-200,4,-518,10%,0%,0,-,2016 Spring
LOD,,5,20%,2.3,3.6,3.0,3.4,8.0,387,84%,32.4,551,-,0.34,0.28,0.04,-299,-5,202,20%,0%,0,-,2016 Spring
LetMe,,2,100%,4.0,1.0,2.5,9.0,8.3,-,70.3%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Ley, CN,2,100%,1.8,0.0,5.0,9.0,1.4,-,62.1%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Likkrit,,7,57.1%,4.5,1.3,2.0,7.7,1.5,283,69%,9.8,194,-,1.14,0.28,0.27,468,7,600,42.9%,0%,0,-,2016 Spring
Lira,,48,50%,3.4,2.4,2.4,5.8,4.9,369,72.4%,18,343,-,0.68,0.59,0.15,188,4,214,37.5%,8.3%,0,6,2016 Spring
LokeN, KR,7,57.1%,3.3,4.0,2.6,4.6,9.3,408,76.3%,29.1,536,-,0.42,0.32,0.06,-660,-10,-155,14.3%,14.3%,0,-,2016 Spring
Loong,,47,51.1%,3.8,2.4,2.3,6.5,7.9,-,72.7%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Looper, KR,64,68.8%,4.8,3.0,2.2,7.4,7.5,372,64%,16.9,316,-,0.56,0.15,0.1,-19,4,320,7.8%,3.1%,0,7,2016 Spring
Loulex, FR,9,22.2%,3.9,1.2,2.1,7.0,3.8,328,69.2%,12,218,-,0.98,0.45,0.15,69,3,473,22.2%,0%,0,2,2016 Spring
